date,open,high,low,close,volume
5/29/2014,22.423,22.745,22.42,22.692,376474532
5/30/2014,22.785,23.006,22.461,22.607,564020548
6/2/2014,22.641,22.673,22.232,22.452,369351612
6/3/2014,22.445,22.812,22.438,22.769,292926480
6/4/2014,22.766,23.139,22.718,23.029,335482084
6/5/2014,23.079,23.192,22.95,23.12,303804564
6/6/2014,23.211,23.259,23.017,23.056,350483644
6/9/2014,23.175,23.47,22.938,23.425,301659216
6/10/2014,23.683,23.763,23.393,23.563,251108168
6/11/2014,23.533,23.69,23.368,23.465,182724456
6/12/2014,23.51,23.53,22.975,23.073,218995164
6/13/2014,23.05,23.11,22.72,22.82,218101120
6/16/2014,22.878,23.188,22.863,23.05,142245080
6/17/2014,23.078,23.175,22.95,23.02,118905388
6/18/2014,23.068,23.073,22.838,23.045,134056432
6/19/2014,23.073,23.075,22.835,22.965,142110744
6/20/2014,22.963,23.138,22.725,22.728,403592264
6/23/2014,22.83,22.905,22.65,22.708,174777564
6/24/2014,22.688,22.935,22.548,22.57,156144348
6/25/2014,22.553,22.675,22.413,22.59,147474164
6/26/2014,22.593,22.763,22.45,22.725,130517436
6/27/2014,22.705,23,22.693,22.995,256115212
6/30/2014,23.025,23.431,23.023,23.233,198356112
7/1/2014,23.38,23.518,23.283,23.38,152893908
7/2/2014,23.466,23.515,23.273,23.37,113860292
7/3/2014,23.418,23.525,23.3,23.508,91567012
7/7/2014,23.535,23.998,23.525,23.992,225871756
7/8/2014,24.068,24.2,23.48,23.838,260886712
7/9/2014,23.86,23.988,23.69,23.848,145745760
7/10/2014,23.44,23.888,23.38,23.759,158742208
7/11/2014,23.84,23.973,23.716,23.805,136072912
7/14/2014,23.965,24.223,23.913,24.113,171240620
7/15/2014,24.2,24.213,23.758,23.83,182784704
7/16/2014,24.243,24.275,23.685,23.695,214009660
7/17/2014,23.758,23.82,23.143,23.272,229192972
7/18/2014,23.405,23.685,23.255,23.608,199950372
7/21/2014,23.748,23.75,23.43,23.485,156316008
7/22/2014,23.67,23.723,23.53,23.68,220786388
7/23/2014,23.855,24.47,23.793,24.298,371670876
7/24/2014,24.259,24.33,24.105,24.258,182915372
7/25/2014,24.213,24.46,24.16,24.418,173876468
7/28/2014,24.455,24.81,24.388,24.755,221270756
7/29/2014,24.833,24.86,24.563,24.595,172572380
7/30/2014,24.61,24.675,24.418,24.538,132040004
7/31/2014,24.29,24.363,23.833,23.9,227370588
8/1/2014,23.725,24.155,23.703,24.033,194045144
8/4/2014,24.093,24.145,23.793,23.898,159832576
8/5/2014,23.84,23.92,23.59,23.78,223730652
8/6/2014,23.688,23.87,23.678,23.74,154233368
8/7/2014,23.733,23.988,23.525,23.62,186844716
8/8/2014,23.565,23.705,23.32,23.685,167460772
8/11/2014,23.818,24.02,23.709,23.998,146339376
8/12/2014,24.01,24.22,23.903,23.993,135181408
8/13/2014,24.038,24.31,24.01,24.31,127665756
8/14/2014,24.333,24.393,24.2,24.375,112462264
8/15/2014,24.475,24.548,24.215,24.495,195805324
8/18/2014,24.623,24.843,24.495,24.79,190289652
8/19/2014,24.853,25.17,24.83,25.133,277597080
8/20/2014,25.11,25.273,24.988,25.143,210796768
8/21/2014,25.143,25.235,25.028,25.145,133912792
8/22/2014,25.073,25.368,25.048,25.33,176735336
8/25/2014,25.448,25.543,25.32,25.385,161080692
8/26/2014,25.355,25.375,25.215,25.222,132607936
8/27/2014,25.255,25.643,25.175,25.533,209476044
8/28/2014,25.398,25.695,25.39,25.563,273839204
8/29/2014,25.715,25.725,25.55,25.625,178380988
9/2/2014,25.765,25.935,25.68,25.825,214257048
9/3/2014,25.775,25.8,24.645,24.735,501682084
9/4/2014,24.713,25.023,24.448,24.53,342872884
9/5/2014,24.7,24.848,24.578,24.743,233828140
9/8/2014,24.825,24.828,24.513,24.59,185426968
9/9/2014,24.77,25.77,24.035,24.498,759385020
9/10/2014,24.503,25.278,24.44,25.25,403478348
9/11/2014,25.103,25.36,24.905,25.358,249598972
9/12/2014,25.303,25.548,25.27,25.415,256387612
9/15/2014,25.703,25.763,25.36,25.408,245266064
9/16/2014,24.95,25.315,24.723,25.215,267632532
9/17/2014,25.318,25.45,25.148,25.395,243705992
9/18/2014,25.483,25.588,25.39,25.448,149197740
9/19/2014,25.573,25.588,25.22,25.24,283609624
9/22/2014,25.45,25.535,25.145,25.265,211153704
9/23/2014,25.15,25.735,25.135,25.66,253608784
9/24/2014,25.54,25.713,25.3,25.438,240687312
9/25/2014,25.128,25.178,24.43,24.468,400367960
9/26/2014,24.633,25.188,24.6,25.188,249482004
9/29/2014,24.663,25.109,24.658,25.028,199065248
9/30/2014,25.203,25.385,25.133,25.188,221056556
10/1/2014,25.148,25.173,24.675,24.795,205965144
10/2/2014,24.818,25.055,24.51,24.975,191031312
10/3/2014,24.86,25.053,24.76,24.905,173878340
10/6/2014,24.988,25.163,24.855,24.905,148204728
10/7/2014,24.858,25.03,24.683,24.688,168376732
10/8/2014,24.69,25.278,24.578,25.2,229618696
10/9/2014,25.385,25.595,25.153,25.255,309506100
10/10/2014,25.173,25.508,25.075,25.183,265326368
10/13/2014,25.333,25.445,24.953,24.953,214333472
10/14/2014,25.098,25.13,24.643,24.688,254754248
10/15/2014,24.493,24.788,23.795,24.385,403734400
10/16/2014,23.888,24.43,23.853,24.065,288618092
10/17/2014,24.375,24.75,24.203,24.418,272718752
10/20/2014,24.579,24.99,24.555,24.94,310069116
10/21/2014,25.755,25.755,25.318,25.618,378495616
10/22/2014,25.71,26.028,25.65,25.748,273052584
10/23/2014,26.02,26.263,25.908,26.208,284298696
10/24/2014,26.295,26.373,26.133,26.305,188215664
10/27/2014,26.213,26.37,26.175,26.278,136750804
10/28/2014,26.35,26.685,26.338,26.685,192243796
10/29/2014,26.663,26.843,26.59,26.835,210751516
10/30/2014,26.74,26.838,26.475,26.745,162619172
10/31/2014,27.003,27.01,26.803,27,178557140
11/3/2014,27.055,27.575,27.003,27.35,209130200
11/4/2014,27.34,27.373,26.93,27.15,166297460
11/5/2014,27.275,27.325,27.031,27.215,149743620
11/6/2014,27.15,27.198,26.95,27.175,139873828
11/7/2014,27.188,27.33,27.138,27.253,134766140
11/10/2014,27.255,27.333,27.168,27.208,108782188
11/11/2014,27.175,27.438,27.1,27.425,109769008
11/12/2014,27.345,27.858,27.343,27.813,187769724
11/13/2014,27.95,28.363,27.9,28.205,238091420
11/14/2014,28.288,28.548,28.263,28.545,176254380
11/17/2014,28.568,29.32,28.325,28.498,186986848
11/18/2014,28.485,28.923,28.473,28.868,176895912
11/19/2014,28.86,28.935,28.45,28.668,167476640
11/20/2014,28.728,29.215,28.713,29.078,173582148
11/21/2014,29.378,29.393,29.008,29.118,228717192
11/24/2014,29.213,29.693,29.155,29.656,189803296
11/25/2014,29.768,29.938,29.363,29.4,275361760
11/26/2014,29.485,29.775,29.458,29.75,163327544
11/28/2014,29.818,29.85,29.513,29.733,99257608
12/1/2014,29.703,29.813,27.818,28.768,335256148
12/2/2014,28.375,28.938,28.188,28.658,237395760
12/3/2014,28.938,29.088,28.778,28.983,172253760
12/4/2014,28.943,29.3,28.823,28.873,168623104
12/5/2014,28.998,29.02,28.66,28.75,153275580
12/8/2014,28.525,28.662,27.905,28.1,230659400
12/9/2014,27.548,28.575,27.338,28.53,240832144
12/10/2014,28.603,28.713,27.885,27.988,178261272
12/11/2014,28.065,28.45,27.835,27.905,165886312
12/12/2014,27.615,27.968,27.395,27.433,224112552
12/15/2014,27.675,27.9,26.588,27.056,268872328
12/16/2014,26.593,27.54,26.565,26.686,243162932
12/17/2014,26.78,27.46,26.705,27.353,213647092
12/18/2014,27.968,28.163,27.665,28.163,236024872
12/19/2014,28.065,28.31,27.915,27.945,353719080
12/22/2014,28.04,28.373,27.993,28.235,180670196
12/23/2014,28.308,28.333,28.115,28.135,104113676
12/24/2014,28.145,28.178,28.003,28.003,57918444
12/26/2014,28.025,28.63,28.003,28.498,134883804
12/29/2014,28.448,28.693,28.425,28.478,110395680
12/30/2014,28.41,28.48,28.028,28.13,119525908
12/31/2014,28.205,28.283,27.553,27.595,165613404
1/2/2015,27.848,27.86,26.838,27.333,212818504
1/5/2015,27.073,27.163,26.353,26.563,257141964
1/6/2015,26.635,26.858,26.158,26.565,263188464
1/7/2015,26.8,27.05,26.674,26.938,160423736
1/8/2015,27.308,28.038,27.175,27.973,237458188
1/9/2015,28.168,28.313,27.553,28.003,214798108
1/12/2015,28.15,28.158,27.2,27.313,198603160
1/13/2015,27.858,28.2,27.228,27.555,268367712
1/14/2015,27.26,27.623,27.125,27.45,195826352
1/15/2015,27.5,27.515,26.665,26.705,240055984
1/16/2015,26.758,26.895,26.3,26.498,314053380
